Disease,Medicine
(vertigo) Paroymsal  Positional Vertigo,Meclizine and Betahistine
AIDS,Tenofovir and Emtricitabine and Efavirenz
Acne,Tretinoin and Adapalene and Doxycycline and Minocycline
Alcoholic hepatitis,Prednisolone and Pentoxifylline
Allergy,Diphenhydramine and Loratadine and Fluticasone
Arthritis,Ibuprofen and Naproxen and Methotrexate
Bronchial Asthma,Salbutamol and Fluticasone and Budesonide
Cervical spondylosis,Ibuprofen and Cyclobenzaprine
Chicken pox,Acyclovir and Calamine lotion
Chronic cholestasis,Ursodeoxycholic acid
Common Cold,Paracetamol and Saline nasal spray and Pseudoephedrine
Dengue,Paracetamol and Oral rehydration salts
Diabetes,Insulin glargine and Insulin lispro and Metformin and Glipizide
Dimorphic hemmorhoids(piles),Hydrocortisone cream and Docusate sodium
Drug Reaction,Hydrocortisone and Diphenhydramine
Fungal infection,Clotrimazole and Fluconazole
GERD,Omeprazole and Esomeprazole and Ranitidine
Gastroenteritis,Oral rehydration salts and Ondansetron
Heart attack,Aspirin and Clopidogrel and Atenolol and Atorvastatin
Hepatitis B,Tenofovir and Entecavir
Hepatitis C,Sofosbuvir and Ledipasvir and Daclatasvir
Hepatitis D,Pegylated interferon alpha
Hepatitis E,Ribavirin and Supportive care
Hypertension,Lisinopril and Ramipril and Amlodipine and Hydrochlorothiazide
Hyperthyroidism,Methimazole and Propylthiouracil and Propranolol
Hypoglycemia,Glucose tablets and Glucagon
Hypothyroidism,Levothyroxine and Euthyrox and Synthroid
Impetigo,Mupirocin and Retapamulin
Jaundice,Supportive care and Antibiotics (for infections) and Antivirals (for hepatitis)
Malaria,Artesunate and Chloroquine and Artemisinin-based combination therapies (ACTs)
Migraine,Sumatriptan and Rizatriptan and Ibuprofen
Osteoarthristis,Ibuprofen and Diclofenac and Glucosamine sulfate
Paralysis (brain hemorrhage),Rehabilitation therapy and Paracetamol and Anticoagulants (if required)
Peptic ulcer disease,Omeprazole and Lansoprazole and Ranitidine and Clarithromycin and Amoxicillin
Pneumonia,Amoxicillin and Levofloxacin and Oseltamivir
Psoriasis,Betamethasone and Fluocinonide and Calcipotriene and Adalimumab and Etanercept
Tuberculosis,Isoniazid and Rifampin and Pyrazinamide and Ethambutol
Typhoid,Ciprofloxacin and Ceftriaxone
Urinary tract infection,Ciprofloxacin and Nitrofurantoin
Varicose veins,Compression stockings and Sclerotherapy and Endovenous laser therapy (EVLT) and Surgery
hepatitis A,Supportive care and Vaccination
